text,category,target,source,source_url
"> > Besides, there's no case that can be made for US military involvement > there that doesn't apply equally well to, say, Liberia, Angola, or > (it appears with the Khmer Rouge's new campaign) Cambodia. Non-whites > don't count? Hmm...some might say Kuwaitis are non-white. Ooops, I forgot, Kuwaitis are ""oil rich"", ""loaded with petro-dollars"", etc so they don't count. ...and let's not forget Somalia, which is about as far from white as it gets.",talk.politics.mideast,4,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Wow! A 68070! I'd be very interested to get my hands on one of these, especially considering the fact that Motorola has not yet released the 68060, which is supposedly the next in the 680x0 lineup. 8-D",comp.graphics,0,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"I am looking for software to run on my brand new Targa+ 16/32. If anyone knows of any sites which have useful stuff, or if you have any yourself you want to give, let me know via mail. Thanks a LOT! Yayayay! jamie@ddsw1.mcs.com",comp.graphics,0,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"As we see right now, the position of influence enjoyed by parties favoring the negotiation process is tenuous at best. The local ""elections"" in Hebron that the PLO was expected to win (perhaps adding a bit to its flagging position of ""legitimacy"" in the eyes of Palestinians and the Middle East) have been disrupted by Hamas actions overtly directed towards undermining those (and all West Bank) elections. The present ruling Israeli Labor coalition seems to be one rather thin political ice. The Palestinian delegation has been reduced from 14 to three to protest Israel ""lack of seriousness"" in the talks and refusal to reverse all the deportations immediately. Hopefully, however, each of the parties will begin to learn that just the fact that negotiations are taking place *does not mean* they are giving anything away to ""the other side"" (which was/is the favorite argument of the ""rejectionists""). Let's hope that discusion and inevitable disagreement on major issues leads at the same time to some agreement on smaller ""interim"" (""phase"", whatever term we prefer) steps to be taken.",talk.politics.mideast,4,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Well, actually, most of ours is based on what really happened and yours is based on some fantasy of how it happened. But that's OK, I understand you have a hockey background. Stats like ""plus/minus"" make RBI look good. OK, how about a straigh answer, then. Here's a very simele question to which I'm sure a fair number of us are very interesed in the answer to. Please answer yes or no, Roger: Can a pitcher cause the offensive players on his team to score more runs? AL only, please. For anyone else following along, it is a well-known and demonstrable fact that a team's win-loss record is closely related to the number of runs the team scores and the number the team allows. It's not a definite, hard-and-fast function, but there is definitely a correlation. In fact, as a rule of thumb, if teams A and B both score X runs and team A allows Y runs, for every 10 runs fewer than Y that team B allows, it will win another game. So, for instance, if we look at the 1991 Toronto Blue Jays, we find that they scored 780 runs and allowed 682, of which Morris allowed 114. All other things being equal, if Frank Viola, with his 3.44 ERA had replaced Jack Morris for the 240.2 innings Morris threw (plausible, since Viola threw 238 for Boston), the ""Red Jays"" would have allowed about 15 fewer runs, or enough for 1-2 more wins. Now, that doesn't take into account that Viola pitched half his innings in Fenway, which is a harder park to pitch in (particularly for a lefthander) than Skydome. So, um, Roger. Unless you really do believe that a pitcher can somehow affect the number of runs his team scores, could you enlighten us to the fallacy in this analysis? Clearly, it would be foolhardy to claim that Viola would necessarily have put up a 3.44 if he had been on the Jay last year, but that is not the claim. We look at what the actual performances were and evaluate Viola's as better than Morris' in the sense that ""had Morris performed as Viola did, his team would have been better off."" This is true, but not so open that your brain falls out. Mike Jones | AIX High-End Development | mjones@donald.aix.kingston.ibm.com",rec.sport.baseball,1,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
A while back someone had several equations which could be used for changing 3 f iltered grey scale images into one true color image. This is possible because it's the same theory used by most color scanners. I am not looking for the obv ious solution which is to buy a color scanner but what I do need is those equat ions becasue I am starting to write software which will automate the conversion process. I would really appreciate it if someone would repost the 3 equations /3 unknowns. Thanks for the help!!!,comp.graphics,0,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Am I correct in assuming that the science instruments buffer their acquired data in onboard RAM, which is then downloaded upon receipt of the MRO command?",sci.space,2,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"[Warning: Flammage to follow...] Ah, that British sense of humor. Probably got a real gut-buster going when the IRA blew that kid up a couple of weeks ago, huh? Of course, in Britain, your government has ordered you defenseless, so your way of coping with violent criminals is to laugh at victims. I don't know about a .45. My own preference is for 9mm. Ah, Canada. Where the criminals don't bother with checking to see if the victims are home. They just break on in. America's a little different, you see. Criminals worry a bit more about getting shot, so they more frequently check to see if anyone's home. I've heard Gun World in Phoenix, Arizona, is fantastic! I'm hoping to visit there myself soon. Ah, Britain again. Isn't that the place where you're guilty until proven innocent? Tell me, Mr. ""jaj@vax.oxford.ac.uk"" didn't Britain come begging to us ""gun nut morons"" in the early 1940s for guns to defend yourselves against Hitler? Seems as though your supposedly enlightened government had disarmed you: ""Aw chaps, you can jolly give up your guns. If that Hitler man starts to threaten, we can always hit up the Yanks for a few guns. They've got a bloody eccentric habit about those guns, you know. Just hand in your shotgun, that's it. Thank you."" Ain't it just amazing how those black markets work? Damn if those drugs from south america keep coming over our borders, too, even though we've banned them. Guess we might as well legalize them. Makes you want to send fifty bucks to the Libertarian Party just thinking about it, doesn't it? Your close-minded ignorance is without parallel. I guess that's what happens when you're raised as a ""subject"" without rights. Your type gravitates to those who desire to hold power over you. Just chuckle as the cops beat you senseless to get a confession. Just laugh yourself silly when you find that confession is valid in court. ""Hey mate, this is justice, British style."" Drew",talk.politics.guns,3,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Can someone elaborate a little on what this ""Libertarian"" movement is? I am not going to draw conclusions from a small sample, but so far I recall two self-described ""Libertarians"" posting here. Both seems to be: 1) Incredibly ignorant. 2) Incredibly arrogant. 3) All they want is to get people angry. 4) Posses a lousy sense of humor. 5) write incoherently and jump from topic to topic without any logical connection between topics. 6) Describe themselves as intelligent and knowledgeable, although everything in their posters points to the opposite. 7) Very childish. Is this some campaign to smear this Libertarian party or what?",talk.politics.mideast,4,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Does anyone have any Russian Contacts (Space or other) or contacts in the old USSR/SU or Eastern Europe? Post them here so we all can talk to them and ask questions.. I think the cost of email is high, so we would have to keep the content to specific topics and such.. Basically if we want to save Russia and such, then we need to make contacts, contacts are a form of info, so lets get informing. == Michael Adams, nsmca@acad3.alaska.edu -- I'm not high, just jacked",sci.space,2,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"There is NO TEAM, repeat, NO TEAM, that is America's team. This is a diverse country with 26 MLB teams (+2 up north) and there is no one team that is America's. Who would the other teams belong to? And how does it happen? Well, teams receive this monicker through success (Cowboys), national exposure (Cubs), or both (Braves). It spreas aby successful advertising campaigns. Harry Caray, Ted Turner, amd other dupe people into thinking that their representative teams are ""hip"" so that people will watch them on TV and buy their products. Arrogant local fans adapt the monicker and think that ""their"" team is the one that America idolize",rec.sport.baseball,1,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"103D CONGRESS 1ST SESSION H. R. 1276 To establish the right to obtain firearms for security, and to use firearms in defense of self, family, or home, and to provide for the enforcement of such right. ======================= IN THE HOUSE OF REPRESENTATIVES March 10, 1993 Mr. BARTLETT introduced the following bill; which was referred to the Committee on the Judiciary ======================= A BILL To establish the right to obtain firearms for security, and to use firearms in defense of self, family, or home, and to provide for the enforcement of such right. Be it enacted by the Senate and House of Representa- tives of the United States of America in Congress assembled, SECTION 1. SHORT TITLE. This Act may be cited as the ""Citizens' Self-Defense Act of 1993"". SEC. 2. RIGHT TO OBTAIN FIREARMS FOR SECURITY, AND TO USE FIREARMS IN DEFENSE OF SELF, FAMILY, OR HOME; ENFORCEMENT. (a) ESTABLISHMENT OF RIGHT. -- A person not pro- hibited by Federal law from receiving a firearm shall have the right to obtain firearms for security, and to use fire- arms in defense of self, family, or home. (b) FIREARM DEFINED. -- As used in subsection (a), the term ""firearm"" means a -- (1) shotgun (as defined in section 921(a)(5) of title 18, United States Code); (2) rifle (as defined in section 921(a)(7) of such title); or (3) handgun (as defined in section 10 of Public law 99-408). (c) ENFORCEMENT OF RIGHT. -- (1) IN GENERAL. -- A person whose right under subsection (a) is violated in any manner may bring an action in any United States district court against the United States, any State, or any person for damages, injunctive relief, and such other relief as the court deems appropriate. (2) AUTHORITY TO AWARD A REASONABLE AT- TORNEY'S FEE. -- In an action brought under para- graph (1), the court, in its discretion, may allow the prevailing party, other than a State, a reasonable attorney's fee as part of the costs. (d) STATUTE OF LIMITATIONS. -- An action may not be brought under subsection (c)(1) after the 5-year period that begins with the date the violation described therein is discovered. ------------------------ (end of HR 1276) ------------------------ Well, this sounds good to me. The key is Section (2)(c)(2), which will effectively open up the Federal court system to all the folks who can't afford to adopt an Attorney with whom to fight city hall. All of you who've been saying ""hey, isn't that illegal?"" could just go hire your own Attorneys on a pay-if-you-win (""contingency fee"") basis, and sue the bums ... :-) What you can do now: (1) Write your Representative, and ask them to co-sponsor HR 1276. (2) Write Representative Roscoe Bartlett, the sponsor -- Representative Roscoe Bartlett 312 Cannon House Office Building Washington, D.C. 20515 -- to tell him who your own Representative is, and that you've asked them to join him as a co-sponsor of HR 1276. (3) Contact Gun Owners of America -- Gun Owners of America 8001 Forbes Place Springfield, Virginia 22151 -- which has committed to lobby on behalf of HR 1276. (4) For those of us with a RealJob (TM), find out how to reach Representative Bartlett's campaign fund (I'm working on it) and toss in a few bucks. You can bet your bippy that he's going to be one of the HCI ""targets"" in the next election, which isn't that far away (1994).",talk.politics.guns,3,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"of thier Eloquently, if somewhat shrilly, put. Well, why not? You have a way with words. And you sure get shrill on cue. Jim -- jmd@handheld.com",talk.politics.guns,3,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
Bobby Bonilla supposedly use the word 'faggot' when he got mad at that author in the clubhouse. Should he be banned from baseball for a year like Schott?,rec.sport.baseball,1,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"What are the main advantages of this method? I have seen it described, and the algiorithm seems a little bit long. I developed my own method, which requires that the points be in a counter-clockwise order, and returns whether you are looking at the back or the front, similar to the plane eqn method. It uses few calculations however, basically it is several comparisons. The only disadvantage I see is that it must be done after the transformation from view coordinates to coordinates to display on the screen, which means that a little more calculation isneeded beforehand. My method basically figures out whether the points that will appear on the screen are clockwise or counterclockwise. When looking at the back of something, the points occur in an opposite direction from the front, so merely by figuring out which way the points go, you can tell whether you are looking at the back or front of a 2d polygon. Has anyone heard of this method before? It is so simple, I doubt i am the first to think of it. Libertarian, atheist, semi-anarchal Techno-Rat.",comp.graphics,0,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"My favorite was the Barry Foote homer that bounced on Waveland and through a second floor window across the street. Second though, would be the Kong drive that was last seen bouncing down the street that dead ends to the park at Waveland.",rec.sport.baseball,1,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"<Endless remarks of how the Davidians could have surrendered deleted.> If they had been quiet there would have been no deaths?? I thought thier neighbors said that the Davidians never bothered them. Oh, well, that couldn't have been your point, then. If they hadn't been stockpiling weapons, then the ATF wouldn't have felt threatened and had to move in. Here's a newsflash: It isn't illegal to own more than one firearm. It isn't even illegal to own *lots* of firearms. They shot federales? The feds shot them, too. How about that staying inside thing? Here's another newsflash: sometimes the government does nasty things to you that you don't deserve. Since they were so nice to the Davidians the first time round, I can see why the Davidians didn't surrender so easily, especially because they were expecting the end of the world. -- Andrew Diederich diederic@spot.colorado.edu",talk.politics.guns,3,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Obviously not. Count rates are too low and signal rise times too long for this to be possible. The CGRO, is, what, 10 meters long? You'd need to time to an accuracy of nanoseconds to do this. What BATSE actually does is measure the relative strength in each of the detectors (also as a function of photon energy). Each of the detectors does not have isotropic response. To do this right one must model the scattering of photons in the material around each detector, and even scattering of photons off the Earth's atmosphere back onto the spacecraft. I believe they have now reduced the error to about 2 degrees.",sci.space,2,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"WIP is the REAL home of the Eagles. Merril Reese and the Birds on FM radio...what a joke. A ""classic rock"" station at that! Whats the sports world coming to?",rec.sport.baseball,1,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"The most current orbital elements from the NORAD two-line element sets are carried on the Celestial BBS, (513) 427-0674, and are updated daily (when possible). Documentation and tracking software are also available on this system. As a service to the satellite user community, the most current elements for the current shuttle mission are provided below. The Celestial BBS may be accessed 24 hours/day at 300, 1200, 2400, 4800, or 9600 bps using 8 data bits, 1 stop bit, no parity. Element sets (also updated daily), shuttle elements, and some documentation and software are also available via anonymous ftp from archive.afit.af.mil (129.92.1.66) in the directory pub/space. STS 55 1 22640U 93 27 A 93117.91666666 .00044808 00000-0 13489-3 0 63 2 22640 28.4614 259.3429 0005169 259.6342 61.8074 15.90673799 201",sci.space,2,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"boxscores. Beware. The original poster looks to be from Louisville, and chances are Louisville gets the edition of the NYTimes that is printed in Chicago for the MidWest. This edition has boxscores only on Monday (and Sunday) and an extremely skimpy sports section (few game summaries, mostly just color stories).",rec.sport.baseball,1,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"# # Q: When an Israeli pilot is bombing school children in Lebanon gets # shot down, and crashes head-first, what's the last thing that # goes into his mind (head)? # # A: His butt hole. Now this HAS to count as one of the most original and constructive contributions yet on tpm. All in all, well worth the $$$$ it took to send it to thousands of computers all over the world.",talk.politics.mideast,4,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"[stuff deleted. all mine] Aw come on. It worked great in the 1920's (or the movie version of the '20s anyways) :-) [stuff deleted about how revolvers are just as good as semi-autos] All your points are very well taken and things that I haven't considered as I am not really familiar enough with handguns. Hell, a Glock is the last thing that should be switched to. The only thing that I know about a Glock is the lack of a real safety on it. Sure there is that little thing in the trigger but that isn't too great of a safety. Actually I don't watch those shows :-) And you're right (at least partially). I don't know much about handguns. I'm more familiar with rifles. No flames here. All your points are well taken. Guess I still have a lot to learn but thanks to this discussion I already am :-) Guess I assume too many things like more bullets are better and that sort of thing. Of course you know what happens when you assume ......... :-)",talk.politics.guns,3,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Fellow Texans and Members of Crime Strike in Texas Crime Strike in Texas has a loosely knit coalition with most Victims Rights Groups in Texas. We ask that you write a letter protesting the release of the following murderer. This letter should be written to : Raven Kazen - Victims Services Board of Pardons and Paroles P.O. Box 13401 - Capital Station Austin, Texas 78711 The letter should be written if at all possible on RED PAPER as that was agreed on at one of our first meetings . It represents the coalition and all of its parts as well as the heart ache of those left behind and the blood spilled by these criminals. The letter should have only one name on it so it can be filed in the folder of that criminal waiting for his next try at parole. List of Criminals: Today we have only one parole to protest , On October 4, 1990, Mark Steven Hughes rendered numerous blows to the head of James Allen Pompa . Ten month old James went into a coma and died two days later. On July 8, 1992, Mark Steven Hughes pled guilty to Injury to a Child and received a ten-year sentence. According to Texas law, Mark became eligible for parole on January 4, 1992 -- six months before he was even sentenced! Would you join us in strongly protesting the release from prison of Mark Steven Hughes, who beat a baby to death . Mark Steven Hughes - beat to death the baby boy of Russel Pompa -- Reference Mark Steven Hughes - TDC# 633546 Mark your envelope ""PROTEST LETTER"" on the front and back. A typical letter is indicated on the next page --- THANK YOU VERY MUCH. Irvin Wilson - Volunteer Crime Strike Texas Date: April 13, 1993 Raven Kazen - Victims Services Board of Pardons and Paroles P.O. Box 13401 - Capital Station Austin , Texas 78711 I protest the parole of Mark Steven Hughes TDC#633546, who, murdered James Son of Russel Pompa. He should be kept in prison for his full sentence and not be released at any time prior to his full sentence for any reason. Irvin Wilson Houston, Texas",talk.politics.guns,3,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Hey! What's this? We agree! No platoon advantage (Sabo vs. Samuel). Both players have a reputation of being excellent fastball hitters, and both have a reputation of being fooled too often with slow curves and change ups. Sabo has more power, and a little bit of a better batting eye. Samuel is noted as an agressive free-swinger. Sabo has more homerun power. Both players started the game hitting below .200. There may have been some game considerations that might have prompted Perez to want to reserve Samuel for use later. But the game *was* on the line, and Samuel never did get in. Given all of this, I don't see a lot to suggest pinch-hitting, nor do I see anything to suggest no pinch-hitting. There is, of course, the clutch-hitting information. But if that's useless... Then again. If it's not...",rec.sport.baseball,1,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"[discussion of pros and cons deleted] Could someone give me the references to the LLNL proposal? I've been meaning to track it down in conjuntion with something I'm working on. It's not directly related to space stations, but I think many of the principles will carry over.",sci.space,2,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Is anybody out there willing to discuss with me careers in the Army that deal with space? After I graduate, I will have a commitment to serve in the Army, and I would like to spend it in a space-related field. I saw a post a long time ago about the Air Force Space Command which made a fleeting reference to its Army counter-part. Any more info on that would be appreciated. I'm looking for things like: do I branch Intelligence, or Signal, or other? To whom do I voice my interest in space? What qualifications are necessary? Etc, etc. BTW, my major is computer science engineering. Please reply to ktj@reef.cis.ufl.edu",sci.space,2,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"As I understand it, THe difference between 3D Studio 2.00 and 2.01 is mainly in the IPAS interface, along with a few small bug fixes. The IPAS code runs a lot faster in the newest version.",comp.graphics,0,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"No. I do not find this conceivable. I also cannot conceive of the possibility that there is any hypothetical team which Morris would help more than Clemens. Given your premise, yes. But you are alone in your ability to conceive of that premise.",rec.sport.baseball,1,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"}Dillon has published a letter in the Blue Press telling people }""How to Bankrupt HCI"" by requesting information from them. } }Last time this idea went around in rec.guns, a couple of people }said that HCI counts all information requestors as ""members"". } }Can anyone confirm or deny this? } }If true, what's the impact of HCI getting a few thousand new }members? Last I heard, HCI had something like 250K members to the NRA's 3 million. If true, and they want to play duelling mandates, well ...",talk.politics.guns,3,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"THE WHITE HOUSE Office of the Press Secretary ____________________________________________________________________ For Immediate Release April 5, 1993 REMARKS BY THE PRESIDENT EN ROUTE TO CAMDEN YARDS FOR ORIOLES OPENING DAY GAME MARC Train En Route to Camden Yards 11:45 A.M. EDT Q Mr. President, what do you think of Jesse Jackson's protest today? THE PRESIDENT: I think it's an informational protest. I think it's fine. The owners put out a statement few days ago, which they say was the first step in, you know, efforts to increase minority ownership and minority increases in management. I think we should. I'm encouraged by Don Baylor's appointment out in Colorado. And I think it's time to make a move on that front. So, I think it's a legitimate issue, and I think it's -- like I said, it's an informational picket and not an attempt to get people not to go to the game. So, I think it's good. Q Do you think they're moving fast enough? THE PRESIDENT: Well, I think that it was a good first step. And I think you'll see some movement now. And I think it's an issue that deserves some attention, and they're obviously going to give it some. And I think that Reverend Jackson being out there will highlight the issue. So I think it's fine. Q Mr. President, how about the logjam in the Senate on the economic stimulus plan? Do you think they'll be able to break that and get cloture? THE PRESIDENT: I don't know, we're working at it. I mean, it's a classic -- there was an article in the paper today, one of the papers I saw, which pretty well summed it up. They said, you know, this is a -- it's just a political power play. In the Senate the majority does not rule. It's not like the country. It's not like the -- it's not like the House. If the minority chooses, they can stop majority rule. And that's what they're doing. There are a lot of Republican senators who have told people that they might vote for the stimulus program but there's enormous partisan political pressure not to do it. And, of course, what it means is that in this time when no new jobs are being created, even though there seems to be an economic recovery, it means that for political purposes they're willing to deny jobs to places like Baltimore and Dallas and Houston and Pittsburgh and Philadelphia and Portland and Seattle. It's very sad. I mean, the block grant program was designed to create jobs in a hurry based on local priorities, and it's one that the Republicans had always championed. Just about the only Democrat champions of the program were people like me who were out there at the grassroots level, governors and senators. I just think it's real sad that they have chosen to exert the minority muscle in a way that will keep Americans out of work. I think it's a mistake. THE PRESS: Thank you.",talk.politics.misc,5,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Howdy all, I was wondering if people could e-mail me their opinions on the various graphics viewers available for MS-Windows 3.x... I'm working on a project to set up our scanner and write documentation on how to use it and it would be nice to have a snazzy image viewer to look at (and maybe even edit?) the image you just scanned. The file formats I'm looking for: GIF JPEG TIFF PCX whatever other 'major' file formats there are. Thanks a lot for your help Grant",comp.graphics,0,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Undoubtedly. In fact, it is the fact that hospitals frequently compete for physicians rather than for patients that (in part) complicates and undermines a simplistic free-market analysis of the market for medical care. Once again, there is no evidence that this is true in regard to kidney dialysis. Although price controls have promoted an expansion of services to a much greater volume of patients, RD is still a profitable service. Otherwise, one would expect to see evidence of rationing rather than the vast expansion that has occurred. Can you spell ""loss leader?"" I knew you could. Grocery stores do not attempt to make up the loss on an individual product by selling more of it. In fact, your argument above is that kidney dialysis is a loss leader for other medical treatments where lost revenue can be regained. But the evidence does not support this contention. Rather, it appears that price controls have disciplined the market by forcing an expansion of service and development of improved lower-cost technology to provide comparable benefits. Providers continue to profit from RD, they simply make less on each treatment than they would have if the price had risen at the rate that uncontrolled treatments have. There is no question that had price controls forced the price of RD substantially below its actual cost that some or all of the doomsday predictions of free-market advocates would have been seen -- restriction of service, lagging technological development, etc. Likewise, it appears that in the VA and armed forces medical care systems, where providers are government agencies, some of these negative impacts may occur. (RD patients in the VA system in Spokane, for example, must travel to Seattle, 300 miles away, for treatment.) The bottom line, however, is that this is an example of government intervention (of a rather extreme sort) that appears to have had beneficial results for both providers and consumers. Claims that ""government bureaucracy"" inevitably leads to undesirable outcomes in the marketplace should take such such cases into account. jsh",talk.politics.misc,5,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Currently, he's all over. He played 2nd when Deshields was out. He was shifted to third when Delino came back. And today, he played SS for a cold Wil Cordero. His natural positions seem to be in the middle infield, but they will seemingly find a spot for himm somewhere as long as his bat is hot.",rec.sport.baseball,1,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"So why not condemn the Mufti for his Nazi leanings, and condemn all his supporters, while also condemning the similarly genocidal killing of innocents, Muslim or not, in Bosnoia-Herzegovina? Hatred and bigotry remain just that, no matter who practices them.",talk.politics.mideast,4,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
